# Individuals to reconcile,0
# links http://www.w3.org/2002/07/owl#sameAs,0
# links http://www.w3.org/2004/02/skos/core#closeMatch,0
# links http://www.w3.org/2004/02/skos/core#relatedMatch,0
# links http://www.w3.org/2004/02/skos/core#related,0
# links http://www.w3.org/2004/02/skos/core#broadMatch,0
